Card Number,Transaction Date,Inscription Date,Description,Amount
4532-7891-2345-6789,2025-04-26,2025-04-29,"[WD] ATM Withdrawal - US Bank",-463.06
4532-7891-2345-6789,2025-04-28,2025-04-29,"[RF] Refund from Nordstrom",113.53
4532-7891-2345-6789,2025-04-30,2025-05-01,"[PO] Adobe Creative Cloud",-654.65
4532-7891-2345-6789,2025-05-05,2025-05-06,"[WD] ATM Withdrawal - Fifth Third Bank",-173.57
4532-7891-2345-6789,2025-05-20,2025-05-21,"[PO] Hulu Subscription",-414.24
4532-7891-2345-6789,2025-05-23,2025-05-27,"[WD] ATM Withdrawal - TD Bank",-521.25
4532-7891-2345-6789,2025-05-26,2025-05-27,"[TR] Transfer to Investment Account",392.27
4532-7891-2345-6789,2025-05-26,2025-05-27,"[PO] YouTube Premium Subscription",-477.02
4532-7891-2345-6789,2025-06-18,2025-06-19,"[PO] BP Gas Station",-686.71
4532-7891-2345-6789,2025-06-19,2025-06-20,"[PO] Burger King",-428.25
4532-7891-2345-6789,2025-06-21,2025-06-23,"[WD] ATM Withdrawal - TD Bank",-194.95
4532-7891-2345-6789,2025-06-21,2025-06-23,"[TR] Transfer to Money Market Account",380.81
4532-7891-2345-6789,2025-07-14,2025-07-15,"[IN] Interest Payment",765.02
4532-7891-2345-6789,2025-07-17,2025-07-18,"[PO] Netflix Subscription",-47.36
4532-7891-2345-6789,2025-07-21,2025-07-22,"[WD] ATM Withdrawal - TD Bank",-465.43
4532-7891-2345-6789,2025-07-24,2025-07-25,"[PO] Apple iTunes Store",-62.41
4532-7891-2345-6789,2025-08-03,2025-08-04,"[PO] HBO Max Subscription",-185.89
4532-7891-2345-6789,2025-08-08,2025-08-11,"[FE] Monthly Maintenance Fee",-47.91
4532-7891-2345-6789,2025-08-15,2025-08-18,"[DD] Payroll Deposit - Acme Corp",80.11
4532-7891-2345-6789,2025-08-20,2025-08-21,"[WT] Wire Transfer from John Smith",903.22
4532-7891-2345-6789,2025-09-08,2025-09-09,"[FE] Paper Statement Fee",-667.87
4532-7891-2345-6789,2025-09-15,2025-09-16,"[IN] Interest Payment",581.46
4532-7891-2345-6789,2025-09-22,2025-09-23,"[FE] Wire Transfer Fee",-559.46
4532-7891-2345-6789,2025-09-28,2025-09-29,"[WT] Wire Transfer from Michael Chen",286.14
4532-7891-2345-6789,2025-10-11,2025-10-13,"[TR] Transfer to Savings Account",611.59
4532-7891-2345-6789,2025-10-12,2025-10-13,"[PO] Pizza Hut",-330.94
4532-7891-2345-6789,2025-10-27,2025-10-28,"[PO] Kohl's Department Store",-530.48
4532-7891-2345-6789,2025-11-07,2025-11-10,"[PO] Trader Joe's",-518.67
4532-7891-2345-6789,2025-11-18,2025-11-19,"[WD] ATM Withdrawal - Capital One",-915.31
4532-7891-2345-6789,2025-11-26,2025-11-28,"[IN] Checking Account Interest",193.51
4532-7891-2345-6789,2025-12-09,2025-12-10,"[PO] Burger King",-849.55
4532-7891-2345-6789,2025-12-17,2025-12-18,"[PM] Credit Card Payment - Bank of America",-955.73
4532-7891-2345-6789,2025-12-18,2025-12-19,"[PO] Dollar General Store",-469.65
4532-7891-2345-6789,2025-12-20,2025-12-22,"[FE] Account Closure Fee",-221.2
4532-7891-2345-6789,2026-01-09,2026-01-12,"[FE] Paper Statement Fee",-805.78
4532-7891-2345-6789,2026-01-10,2026-01-12,"[WD] Withdrawal - Branch Office",-645.2
4532-7891-2345-6789,2026-01-25,2026-01-26,"[PO] BP Gas Station",-643.48
4532-7891-2345-6789,2026-01-26,2026-01-27,"[PO] Planet Fitness Membership",-806.47
4532-7891-2345-6789,2026-01-27,2026-01-28,"[FE] Wire Transfer Fee",-297.54
4532-7891-2345-6789,2026-01-31,2026-02-02,"[WT] Wire Transfer from Emily Brown",248.72
4532-7891-2345-6789,2026-02-05,2026-02-06,"[WD] ATM Withdrawal - Capital One",-477.13
4532-7891-2345-6789,2026-02-07,2026-02-09,"[RF] Refund from Best Buy",932.35
4532-7891-2345-6789,2026-02-08,2026-02-09,"[PO] Costco Wholesale",-903.19
4532-7891-2345-6789,2026-02-09,2026-02-10,"[RF] Refund from Target",919.75
4532-7891-2345-6789,2026-02-19,2026-02-20,"[WT] Wire Transfer from Sarah Johnson",275.87
4532-7891-2345-6789,2026-02-22,2026-02-24,"[WD] ATM Withdrawal - Fifth Third Bank",-980.42
4532-7891-2345-6789,2026-03-20,2026-03-23,"[PO] Rite Aid Pharmacy",-646.72
4532-7891-2345-6789,2026-03-31,2026-04-01,"[PO] Pizza Hut",-352.81
4532-7891-2345-6789,2026-04-17,2026-04-20,"[WD] Branch Withdrawal",-386.38
4532-7891-2345-6789,2026-04-18,2026-04-21,"[WD] ATM Withdrawal - Citibank",-745.41
