CARD_NUMBER,DESCRIPTION,DATE_TRANSACTION,DATE_INSCRIPTION,AMOUNT
3566002020360505,[DD] Payroll Deposit - Acme Corp,2024-01-01,2024-01-01,2500
3566002020360505,[DD] Payroll Deposit - Manufacturing LLC,2024-01-06,2024-01-06,474.32
3566002020360505,[DD] Payroll Deposit - Tech Solutions Inc,2024-01-12,2024-01-12,552.13
3566002020360505,[PO] Netflix Subscription,2024-01-15,2024-01-15,-15.99
3566002020360505,[FE] Monthly Maintenance Fee,2024-01-28,2024-01-28,-5
3566002020360505,[DD] Payroll Deposit - Acme Corp,2024-02-01,2024-02-01,2500
3566002020360505,[PO] Dollar General Store,2024-02-10,2024-02-10,-277.57
3566002020360505,[TR] Transfer to Investment Account,2024-02-11,2024-02-11,-617.1
3566002020360505,[PO] Netflix Subscription,2024-02-15,2024-02-15,-15.99
3566002020360505,[TR] Transfer to Checking Account,2024-02-18,2024-02-18,824.93
3566002020360505,[DD] Tax Refund Deposit - IRS,2024-02-22,2024-02-22,860.85
3566002020360505,[FE] Monthly Maintenance Fee,2024-02-28,2024-02-28,-5
3566002020360505,[DD] Payroll Deposit - Acme Corp,2024-03-01,2024-03-01,2500
3566002020360505,[PO] Netflix Subscription,2024-03-15,2024-03-15,-15.99
3566002020360505,[TR] Transfer from Savings to Checking,2024-03-19,2024-03-19,898.09
3566002020360505,[PO] Aldi Grocery Store,2024-03-21,2024-03-21,-60.71
3566002020360505,[PO] Subway Restaurant,2024-03-27,2024-03-27,-780.35
3566002020360505,[FE] Monthly Maintenance Fee,2024-03-28,2024-03-28,-5
3566002020360505,[DD] Payroll Deposit - Financial Services Co,2024-03-29,2024-03-29,479.13
