The following data is as of 20250228235959:

Item No,Card No,Transaction Date,Statement Date,Transaction Amount,Description
1,'4539876512340098',20250201,20250203,1450.00,GREENLEAF PROPERTIES RENT TRF
2,'4539876512340098',20250201,20250205,188.40,AUTOMATED TELLER WITHDRAWAL GATINEAU QC
3,'4539876512340098',20250201,20250205,29.07,MERIDIAN ONLINE STORE #4471 BRAMPTON ON
4,'4539876512340098',20250202,20250204,12.44,BEANHOUSE COFFEE CO GATINEAU QC
5,'4539876512340098',20250202,20250202,7.76,BEANHOUSE COFFEE CO TORONTO ON
6,'4539876512340098',20250203,20250203,54.99,IRONCORE FITNESS CLUB TORONTO ON
7,'4539876512340098',20250203,20250204,59.52,CEDARBROOK PHARMACY GATINEAU QC
8,'4539876512340098',20250203,20250207,107.42,MAPLEMART GROCERY MISSISSAUGA ON
9,'4539876512340098',20250205,20250208,20.99,STREAMBOX ENTERTAINMENT ON
10,'4539876512340098',20250206,20250208,6.65,BEANHOUSE COFFEE CO BRAMPTON ON
11,'4539876512340098',20250206,20250209,44.91,MAPLEMART GROCERY MONTREAL QC
12,'4539876512340098',20250207,20250208,11.99,TUNEWAVE MUSIC STREAMING ON
13,'4539876512340098',20250210,20250210,63.99,NORDLINK MOBILE MONTREAL QC
14,'4539876512340098',20250212,20250213,76.68,CLEARPATH INTERNET SERVICES QC
15,'4539876512340098',20250212,20250212,16.82,QUICKSTOP CONVENIENCE GATINEAU QC
16,'4539876512340098',20250215,20250217,132.49,PROVINCIAL HYDRO UTILITY QC
17,'4539876512340098',20250215,20250217,228.24,SILVERCREEK ELECTRONICS LAVAL QC
18,'4539876512340098',20250216,20250217,50.74,MERIDIAN ONLINE STORE #4471 MONTREAL QC
19,'4539876512340098',20250217,20250220,202.96,HARBOR RETAIL OUTLET OTTAWA ON
20,'4539876512340098',20250218,20250220,9.99,CLOUDMART PRIME MEMBERSHIP CA
21,'4539876512340098',20250220,20250220,128.50,GUARDIAN AUTO INSURANCE ON
22,'4539876512340098',20250220,20250221,11.78,BEANHOUSE COFFEE CO LONGUEUIL QC
23,'4539876512340098',20250220,20250223,21.78,QUICKSTOP CONVENIENCE QUEBEC QC
24,'4539876512340098',20250222,20250222,95.00,SHIELDCOVER HOME INSURANCE ON
25,'4539876512340098',20250222,20250226,5.87,BEANHOUSE COFFEE CO TORONTO ON
26,'4539876512340098',20250222,20250223,27.71,CEDARBROOK PHARMACY MISSISSAUGA ON
27,'4539876512340098',20250224,20250228,40.60,PARKSIDE CINEMA TORONTO ON
28,'4539876512340098',20250224,20250227,280.86,SILVERCREEK ELECTRONICS TORONTO ON
29,'4539876512340098',20250227,20250227,-469.17,ONLINE BANKING PAYMENT THANK YOU
