The following data is as of 20250831235959:

Item No,Card No,Transaction Date,Statement Date,Transaction Amount,Description
1,'4539876512340098',20250801,20250804,1450.00,GREENLEAF PROPERTIES RENT TRF
2,'4539876512340098',20250801,20250804,37.36,AUTOMATED TELLER WITHDRAWAL OTTAWA ON
3,'4539876512340098',20250802,20250805,22.04,CASCADE CAR WASH MARKHAM ON
4,'4539876512340098',20250803,20250803,54.99,IRONCORE FITNESS CLUB TORONTO ON
5,'4539876512340098',20250805,20250805,20.99,STREAMBOX ENTERTAINMENT ON
6,'4539876512340098',20250806,20250808,27.12,QUICKSTOP CONVENIENCE MARKHAM ON
7,'4539876512340098',20250807,20250807,11.99,TUNEWAVE MUSIC STREAMING ON
8,'4539876512340098',20250809,20250809,13.61,CASCADE CAR WASH MISSISSAUGA ON
9,'4539876512340098',20250810,20250813,69.16,NORDLINK MOBILE MONTREAL QC
10,'4539876512340098',20250812,20250813,75.63,CLEARPATH INTERNET SERVICES QC
11,'4539876512340098',20250815,20250818,181.65,PROVINCIAL HYDRO UTILITY QC
12,'4539876512340098',20250815,20250818,137.01,MAPLEMART GROCERY MARKHAM ON
13,'4539876512340098',20250818,20250821,9.99,CLOUDMART PRIME MEMBERSHIP CA
14,'4539876512340098',20250819,20250823,147.50,SILVERCREEK ELECTRONICS MONTREAL QC
15,'4539876512340098',20250820,20250820,128.50,GUARDIAN AUTO INSURANCE ON
16,'4539876512340098',20250821,20250823,30.87,PARKSIDE CINEMA QUEBEC QC
17,'4539876512340098',20250821,20250823,9.06,CEDARBROOK PHARMACY OTTAWA ON
18,'4539876512340098',20250822,20250825,95.00,SHIELDCOVER HOME INSURANCE ON
19,'4539876512340098',20250822,20250824,12.76,CASCADE CAR WASH TORONTO ON
20,'4539876512340098',20250824,20250826,42.30,PARKSIDE CINEMA QUEBEC QC
21,'4539876512340098',20250824,20250827,156.67,MAPLEMART GROCERY TORONTO ON
22,'4539876512340098',20250825,20250828,101.22,HARBOR RETAIL OUTLET MARKHAM ON
23,'4539876512340098',20250825,20250825,27.94,QUICKSTOP CONVENIENCE MONTREAL QC
24,'4539876512340098',20250828,20250830,153.41,MERIDIAN ONLINE STORE #4471 MONTREAL QC
25,'4539876512340098',20250830,20250831,18.46,BLUE HERON DINER BRAMPTON ON
26,'4539876512340098',20250830,20250831,94.50,HARBOR RETAIL OUTLET LAVAL QC
27,'4539876512340098',20250830,20250831,30.18,PARKSIDE CINEMA MARKHAM ON
28,'4539876512340098',20250830,20250830,-1171.99,ONLINE BANKING PAYMENT THANK YOU
