The following data is as of 20250131235959:

Item No,Card No,Transaction Date,Statement Date,Transaction Amount,Description
1,'4539876512340098',20250101,20250103,1450.00,GREENLEAF PROPERTIES RENT TRF
2,'4539876512340098',20250101,20250103,25.13,HARBOR RETAIL OUTLET MONTREAL QC
3,'4539876512340098',20250101,20250102,9.94,BEANHOUSE COFFEE CO LAVAL QC
4,'4539876512340098',20250102,20250103,224.26,SILVERCREEK ELECTRONICS BRAMPTON ON
5,'4539876512340098',20250103,20250105,54.99,IRONCORE FITNESS CLUB TORONTO ON
6,'4539876512340098',20250103,20250107,14.74,BEANHOUSE COFFEE CO LAVAL QC
7,'4539876512340098',20250105,20250107,20.99,STREAMBOX ENTERTAINMENT ON
8,'4539876512340098',20250107,20250110,11.99,TUNEWAVE MUSIC STREAMING ON
9,'4539876512340098',20250107,20250109,29.09,MERIDIAN ONLINE STORE #4471 TORONTO ON
10,'4539876512340098',20250108,20250108,272.35,SUNVALE DEPARTMENT STORE LONGUEUIL QC
11,'4539876512340098',20250108,20250109,32.27,PARKSIDE CINEMA BRAMPTON ON
12,'4539876512340098',20250110,20250112,67.54,NORDLINK MOBILE MONTREAL QC
13,'4539876512340098',20250112,20250112,74.38,CLEARPATH INTERNET SERVICES QC
14,'4539876512340098',20250112,20250114,89.71,NORTHGATE FUEL STATION QUEBEC QC
15,'4539876512340098',20250112,20250115,139.30,SUNVALE DEPARTMENT STORE TORONTO ON
16,'4539876512340098',20250114,20250115,22.62,CASCADE CAR WASH TORONTO ON
17,'4539876512340098',20250114,20250118,12.09,CASCADE CAR WASH LONGUEUIL QC
18,'4539876512340098',20250114,20250118,16.03,FRONTIER BOOKS AND MEDIA GATINEAU QC
19,'4539876512340098',20250115,20250115,100.53,PROVINCIAL HYDRO UTILITY QC
20,'4539876512340098',20250117,20250117,10.35,BEANHOUSE COFFEE CO MISSISSAUGA ON
21,'4539876512340098',20250118,20250120,9.99,CLOUDMART PRIME MEMBERSHIP CA
22,'4539876512340098',20250119,20250119,17.57,BLUE HERON DINER LONGUEUIL QC
23,'4539876512340098',20250120,20250121,128.50,GUARDIAN AUTO INSURANCE ON
24,'4539876512340098',20250122,20250125,95.00,SHIELDCOVER HOME INSURANCE ON
25,'4539876512340098',20250122,20250126,333.54,SILVERCREEK ELECTRONICS LAVAL QC
26,'4539876512340098',20250124,20250127,95.23,TWIN PEAKS HARDWARE QUEBEC QC
27,'4539876512340098',20250126,20250129,47.96,BLUE HERON DINER TORONTO ON
28,'4539876512340098',20250126,20250128,37.73,AUTOMATED TELLER WITHDRAWAL MARKHAM ON
29,'4539876512340098',20250130,20250131,13.41,FRONTIER BOOKS AND MEDIA OTTAWA ON
30,'4539876512340098',20250130,20250130,-905.78,ONLINE BANKING PAYMENT THANK YOU
