The following data is as of 20250630235959:

Item No,Card No,Transaction Date,Statement Date,Transaction Amount,Description
1,'4539876512340098',20250601,20250604,1450.00,GREENLEAF PROPERTIES RENT TRF
2,'4539876512340098',20250601,20250602,347.00,SILVERCREEK ELECTRONICS QUEBEC QC
3,'4539876512340098',20250601,20250604,119.87,AUTOMATED TELLER WITHDRAWAL LAVAL QC
4,'4539876512340098',20250603,20250606,54.99,IRONCORE FITNESS CLUB TORONTO ON
5,'4539876512340098',20250604,20250606,171.06,SUNVALE DEPARTMENT STORE LONGUEUIL QC
6,'4539876512340098',20250605,20250608,20.99,STREAMBOX ENTERTAINMENT ON
7,'4539876512340098',20250606,20250609,87.85,RIVERSIDE BISTRO QUEBEC QC
8,'4539876512340098',20250606,20250606,178.27,TWIN PEAKS HARDWARE MONTREAL QC
9,'4539876512340098',20250607,20250610,11.99,TUNEWAVE MUSIC STREAMING ON
10,'4539876512340098',20250607,20250609,4.90,BEANHOUSE COFFEE CO QUEBEC QC
11,'4539876512340098',20250608,20250610,31.95,ORCHARD LANE MARKET GATINEAU QC
12,'4539876512340098',20250608,20250612,65.27,MERIDIAN ONLINE STORE #4471 LONGUEUIL QC
13,'4539876512340098',20250610,20250612,60.77,NORDLINK MOBILE MONTREAL QC
14,'4539876512340098',20250612,20250615,73.40,CLEARPATH INTERNET SERVICES QC
15,'4539876512340098',20250612,20250613,23.57,QUICKSTOP CONVENIENCE QUEBEC QC
16,'4539876512340098',20250614,20250618,60.57,WILLOWBROOK PET SUPPLY TORONTO ON
17,'4539876512340098',20250615,20250618,178.72,PROVINCIAL HYDRO UTILITY QC
18,'4539876512340098',20250616,20250619,19.84,QUICKSTOP CONVENIENCE BRAMPTON ON
19,'4539876512340098',20250618,20250621,9.99,CLOUDMART PRIME MEMBERSHIP CA
20,'4539876512340098',20250619,20250620,100.91,AUTOMATED TELLER WITHDRAWAL LAVAL QC
21,'4539876512340098',20250620,20250620,128.50,GUARDIAN AUTO INSURANCE ON
22,'4539876512340098',20250622,20250623,95.00,SHIELDCOVER HOME INSURANCE ON
23,'4539876512340098',20250623,20250625,31.93,FRONTIER BOOKS AND MEDIA MISSISSAUGA ON
24,'4539876512340098',20250624,20250624,77.48,ORCHARD LANE MARKET LAVAL QC
25,'4539876512340098',20250624,20250625,47.98,BLUE HERON DINER BRAMPTON ON
26,'4539876512340098',20250624,20250625,17.57,QUICKSTOP CONVENIENCE MARKHAM ON
27,'4539876512340098',20250625,20250628,70.50,NORTHGATE FUEL STATION LONGUEUIL QC
28,'4539876512340098',20250627,20250627,39.73,TWIN PEAKS HARDWARE GATINEAU QC
29,'4539876512340098',20250630,20250630,-665.26,ONLINE BANKING PAYMENT THANK YOU
