The following data is as of 20250930235959:

Item No,Card No,Transaction Date,Statement Date,Transaction Amount,Description
1,'4539876512340098',20250901,20250904,1450.00,GREENLEAF PROPERTIES RENT TRF
2,'4539876512340098',20250902,20250903,47.67,NORTHGATE FUEL STATION TORONTO ON
3,'4539876512340098',20250903,20250905,54.99,IRONCORE FITNESS CLUB TORONTO ON
4,'4539876512340098',20250903,20250907,399.24,SILVERCREEK ELECTRONICS OTTAWA ON
5,'4539876512340098',20250903,20250906,48.55,FRONTIER BOOKS AND MEDIA TORONTO ON
6,'4539876512340098',20250903,20250905,149.77,TWIN PEAKS HARDWARE LAVAL QC
7,'4539876512340098',20250904,20250906,53.55,NORTHGATE FUEL STATION QUEBEC QC
8,'4539876512340098',20250905,20250905,20.99,STREAMBOX ENTERTAINMENT ON
9,'4539876512340098',20250905,20250909,42.76,ORCHARD LANE MARKET GATINEAU QC
10,'4539876512340098',20250905,20250909,122.43,AUTOMATED TELLER WITHDRAWAL MARKHAM ON
11,'4539876512340098',20250907,20250910,11.99,TUNEWAVE MUSIC STREAMING ON
12,'4539876512340098',20250907,20250908,18.16,CEDARBROOK PHARMACY TORONTO ON
13,'4539876512340098',20250908,20250909,15.20,CEDARBROOK PHARMACY TORONTO ON
14,'4539876512340098',20250908,20250912,33.29,CEDARBROOK PHARMACY OTTAWA ON
15,'4539876512340098',20250909,20250910,41.37,RIVERSIDE BISTRO OTTAWA ON
16,'4539876512340098',20250909,20250910,43.09,FRONTIER BOOKS AND MEDIA MISSISSAUGA ON
17,'4539876512340098',20250910,20250911,59.76,NORDLINK MOBILE MONTREAL QC
18,'4539876512340098',20250911,20250915,6.19,BEANHOUSE COFFEE CO LONGUEUIL QC
19,'4539876512340098',20250912,20250914,76.55,CLEARPATH INTERNET SERVICES QC
20,'4539876512340098',20250915,20250916,175.10,PROVINCIAL HYDRO UTILITY QC
21,'4539876512340098',20250915,20250915,182.01,MERIDIAN ONLINE STORE #4471 OTTAWA ON
22,'4539876512340098',20250917,20250921,4.30,BEANHOUSE COFFEE CO MONTREAL QC
23,'4539876512340098',20250917,20250917,16.17,CASCADE CAR WASH TORONTO ON
24,'4539876512340098',20250918,20250921,9.99,CLOUDMART PRIME MEMBERSHIP CA
25,'4539876512340098',20250920,20250920,128.50,GUARDIAN AUTO INSURANCE ON
26,'4539876512340098',20250920,20250923,64.09,MAPLEMART GROCERY OTTAWA ON
27,'4539876512340098',20250922,20250923,95.00,SHIELDCOVER HOME INSURANCE ON
28,'4539876512340098',20250923,20250924,10.10,CEDARBROOK PHARMACY LAVAL QC
29,'4539876512340098',20250923,20250927,153.21,MAPLEMART GROCERY OTTAWA ON
30,'4539876512340098',20250925,20250925,-1556.77,ONLINE BANKING PAYMENT THANK YOU
