The following data is as of 20250430235959:

Item No,Card No,Transaction Date,Statement Date,Transaction Amount,Description
1,'4539876512340098',20250401,20250402,1450.00,GREENLEAF PROPERTIES RENT TRF
2,'4539876512340098',20250401,20250402,24.25,CASCADE CAR WASH BRAMPTON ON
3,'4539876512340098',20250403,20250404,54.99,IRONCORE FITNESS CLUB TORONTO ON
4,'4539876512340098',20250405,20250406,20.99,STREAMBOX ENTERTAINMENT ON
5,'4539876512340098',20250406,20250410,83.87,NORTHGATE FUEL STATION TORONTO ON
6,'4539876512340098',20250407,20250407,11.99,TUNEWAVE MUSIC STREAMING ON
7,'4539876512340098',20250408,20250412,56.82,HARBOR RETAIL OUTLET LAVAL QC
8,'4539876512340098',20250408,20250409,175.71,AUTOMATED TELLER WITHDRAWAL GATINEAU QC
9,'4539876512340098',20250409,20250409,23.81,CASCADE CAR WASH MARKHAM ON
10,'4539876512340098',20250410,20250413,64.97,NORDLINK MOBILE MONTREAL QC
11,'4539876512340098',20250410,20250411,85.36,MAPLEMART GROCERY TORONTO ON
12,'4539876512340098',20250411,20250414,128.26,AUTOMATED TELLER WITHDRAWAL OTTAWA ON
13,'4539876512340098',20250412,20250413,73.21,CLEARPATH INTERNET SERVICES QC
14,'4539876512340098',20250414,20250414,280.28,SUNVALE DEPARTMENT STORE LONGUEUIL QC
15,'4539876512340098',20250415,20250416,155.51,PROVINCIAL HYDRO UTILITY QC
16,'4539876512340098',20250415,20250419,48.54,FRONTIER BOOKS AND MEDIA BRAMPTON ON
17,'4539876512340098',20250418,20250419,9.99,CLOUDMART PRIME MEMBERSHIP CA
18,'4539876512340098',20250418,20250422,92.15,SUNVALE DEPARTMENT STORE GATINEAU QC
19,'4539876512340098',20250418,20250419,60.29,MAPLEMART GROCERY BRAMPTON ON
20,'4539876512340098',20250419,20250422,261.88,SUNVALE DEPARTMENT STORE GATINEAU QC
21,'4539876512340098',20250420,20250421,128.50,GUARDIAN AUTO INSURANCE ON
22,'4539876512340098',20250420,20250423,86.87,MAPLEMART GROCERY GATINEAU QC
23,'4539876512340098',20250422,20250422,95.00,SHIELDCOVER HOME INSURANCE ON
24,'4539876512340098',20250423,20250427,17.32,FRONTIER BOOKS AND MEDIA LAVAL QC
25,'4539876512340098',20250424,20250426,40.85,NORTHGATE FUEL STATION LONGUEUIL QC
26,'4539876512340098',20250426,20250426,27.50,FRONTIER BOOKS AND MEDIA MISSISSAUGA ON
27,'4539876512340098',20250427,20250429,111.50,HARBOR RETAIL OUTLET QUEBEC QC
28,'4539876512340098',20250429,20250429,-1178.09,ONLINE BANKING PAYMENT THANK YOU
29,'4539876512340098',20250430,20250430,41.24,PARKSIDE CINEMA MONTREAL QC
