The following data is as of 20251231235959:

Item No,Card No,Transaction Date,Statement Date,Transaction Amount,Description
1,'4539876512340098',20251201,20251202,1450.00,GREENLEAF PROPERTIES RENT TRF
2,'4539876512340098',20251202,20251202,28.96,CEDARBROOK PHARMACY MARKHAM ON
3,'4539876512340098',20251202,20251205,49.69,BLUE HERON DINER LAVAL QC
4,'4539876512340098',20251203,20251206,54.99,IRONCORE FITNESS CLUB TORONTO ON
5,'4539876512340098',20251204,20251205,5.47,BEANHOUSE COFFEE CO TORONTO ON
6,'4539876512340098',20251204,20251206,22.09,CEDARBROOK PHARMACY GATINEAU QC
7,'4539876512340098',20251204,20251204,84.96,SUNVALE DEPARTMENT STORE LONGUEUIL QC
8,'4539876512340098',20251205,20251207,20.99,STREAMBOX ENTERTAINMENT ON
9,'4539876512340098',20251206,20251208,20.56,BLUE HERON DINER GATINEAU QC
10,'4539876512340098',20251206,20251210,20.51,FRONTIER BOOKS AND MEDIA LAVAL QC
11,'4539876512340098',20251207,20251208,11.99,TUNEWAVE MUSIC STREAMING ON
12,'4539876512340098',20251209,20251209,20.68,CASCADE CAR WASH OTTAWA ON
13,'4539876512340098',20251210,20251210,60.48,NORDLINK MOBILE MONTREAL QC
14,'4539876512340098',20251211,20251212,23.21,PARKSIDE CINEMA MONTREAL QC
15,'4539876512340098',20251212,20251215,76.03,CLEARPATH INTERNET SERVICES QC
16,'4539876512340098',20251212,20251216,209.29,SILVERCREEK ELECTRONICS BRAMPTON ON
17,'4539876512340098',20251213,20251214,195.71,SILVERCREEK ELECTRONICS TORONTO ON
18,'4539876512340098',20251214,20251217,10.45,QUICKSTOP CONVENIENCE QUEBEC QC
19,'4539876512340098',20251215,20251216,135.57,PROVINCIAL HYDRO UTILITY QC
20,'4539876512340098',20251216,20251217,47.93,HARBOR RETAIL OUTLET LAVAL QC
21,'4539876512340098',20251218,20251218,9.99,CLOUDMART PRIME MEMBERSHIP CA
22,'4539876512340098',20251220,20251222,128.50,GUARDIAN AUTO INSURANCE ON
23,'4539876512340098',20251222,20251223,95.00,SHIELDCOVER HOME INSURANCE ON
24,'4539876512340098',20251222,20251222,157.77,MAPLEMART GROCERY OTTAWA ON
25,'4539876512340098',20251222,20251226,59.45,BLUE HERON DINER GATINEAU QC
26,'4539876512340098',20251229,20251229,-1209.22,ONLINE BANKING PAYMENT THANK YOU
27,'4539876512340098',20251231,20251231,80.30,ORCHARD LANE MARKET BRAMPTON ON
28,'4539876512340098',20251231,20251231,168.44,AUTOMATED TELLER WITHDRAWAL BRAMPTON ON
