The following data is as of 20250731235959:

Item No,Card No,Transaction Date,Statement Date,Transaction Amount,Description
1,'4539876512340098',20250701,20250703,1450.00,GREENLEAF PROPERTIES RENT TRF
2,'4539876512340098',20250701,20250702,73.18,ORCHARD LANE MARKET BRAMPTON ON
3,'4539876512340098',20250703,20250703,54.99,IRONCORE FITNESS CLUB TORONTO ON
4,'4539876512340098',20250704,20250707,159.82,SUNVALE DEPARTMENT STORE GATINEAU QC
5,'4539876512340098',20250704,20250706,58.67,RIVERSIDE BISTRO MISSISSAUGA ON
6,'4539876512340098',20250705,20250708,20.99,STREAMBOX ENTERTAINMENT ON
7,'4539876512340098',20250705,20250708,76.23,WILLOWBROOK PET SUPPLY MONTREAL QC
8,'4539876512340098',20250706,20250706,34.62,AUTOMATED TELLER WITHDRAWAL GATINEAU QC
9,'4539876512340098',20250706,20250707,24.48,CASCADE CAR WASH MONTREAL QC
10,'4539876512340098',20250707,20250707,11.99,TUNEWAVE MUSIC STREAMING ON
11,'4539876512340098',20250708,20250711,84.11,ORCHARD LANE MARKET MONTREAL QC
12,'4539876512340098',20250708,20250712,66.64,ORCHARD LANE MARKET MISSISSAUGA ON
13,'4539876512340098',20250710,20250710,66.67,NORDLINK MOBILE MONTREAL QC
14,'4539876512340098',20250711,20250715,10.61,FRONTIER BOOKS AND MEDIA LAVAL QC
15,'4539876512340098',20250712,20250714,71.59,CLEARPATH INTERNET SERVICES QC
16,'4539876512340098',20250714,20250714,161.97,HARBOR RETAIL OUTLET QUEBEC QC
17,'4539876512340098',20250715,20250715,170.09,PROVINCIAL HYDRO UTILITY QC
18,'4539876512340098',20250715,20250715,24.99,PARKSIDE CINEMA LAVAL QC
19,'4539876512340098',20250716,20250717,65.49,RIVERSIDE BISTRO TORONTO ON
20,'4539876512340098',20250718,20250718,9.99,CLOUDMART PRIME MEMBERSHIP CA
21,'4539876512340098',20250720,20250722,128.50,GUARDIAN AUTO INSURANCE ON
22,'4539876512340098',20250722,20250723,95.00,SHIELDCOVER HOME INSURANCE ON
23,'4539876512340098',20250723,20250725,169.17,AUTOMATED TELLER WITHDRAWAL LONGUEUIL QC
24,'4539876512340098',20250724,20250725,31.60,PARKSIDE CINEMA QUEBEC QC
25,'4539876512340098',20250725,20250726,60.30,NORTHGATE FUEL STATION OTTAWA ON
26,'4539876512340098',20250726,20250726,-391.49,ONLINE BANKING PAYMENT THANK YOU
27,'4539876512340098',20250727,20250729,166.22,HARBOR RETAIL OUTLET OTTAWA ON
28,'4539876512340098',20250729,20250731,16.53,PARKSIDE CINEMA BRAMPTON ON
29,'4539876512340098',20250731,20250731,43.42,PARKSIDE CINEMA QUEBEC QC
