The following data is as of 20250331235959:

Item No,Card No,Transaction Date,Statement Date,Transaction Amount,Description
1,'4539876512340098',20250301,20250301,1450.00,GREENLEAF PROPERTIES RENT TRF
2,'4539876512340098',20250303,20250305,54.99,IRONCORE FITNESS CLUB TORONTO ON
3,'4539876512340098',20250303,20250303,115.81,AUTOMATED TELLER WITHDRAWAL OTTAWA ON
4,'4539876512340098',20250303,20250307,139.42,SILVERCREEK ELECTRONICS GATINEAU QC
5,'4539876512340098',20250304,20250307,11.55,CASCADE CAR WASH MARKHAM ON
6,'4539876512340098',20250305,20250305,20.99,STREAMBOX ENTERTAINMENT ON
7,'4539876512340098',20250306,20250309,73.93,WILLOWBROOK PET SUPPLY QUEBEC QC
8,'4539876512340098',20250307,20250310,11.99,TUNEWAVE MUSIC STREAMING ON
9,'4539876512340098',20250307,20250310,73.23,SUNVALE DEPARTMENT STORE LAVAL QC
10,'4539876512340098',20250310,20250311,62.69,NORDLINK MOBILE MONTREAL QC
11,'4539876512340098',20250311,20250313,58.20,MAPLEMART GROCERY BRAMPTON ON
12,'4539876512340098',20250312,20250313,75.37,CLEARPATH INTERNET SERVICES QC
13,'4539876512340098',20250313,20250313,30.87,WILLOWBROOK PET SUPPLY QUEBEC QC
14,'4539876512340098',20250314,20250315,38.89,BLUE HERON DINER QUEBEC QC
15,'4539876512340098',20250314,20250318,337.51,SILVERCREEK ELECTRONICS GATINEAU QC
16,'4539876512340098',20250315,20250318,147.65,PROVINCIAL HYDRO UTILITY QC
17,'4539876512340098',20250318,20250318,9.99,CLOUDMART PRIME MEMBERSHIP CA
18,'4539876512340098',20250319,20250322,310.59,SILVERCREEK ELECTRONICS BRAMPTON ON
19,'4539876512340098',20250320,20250322,128.50,GUARDIAN AUTO INSURANCE ON
20,'4539876512340098',20250320,20250324,21.04,RIVERSIDE BISTRO MONTREAL QC
21,'4539876512340098',20250321,20250324,81.30,RIVERSIDE BISTRO TORONTO ON
22,'4539876512340098',20250321,20250323,48.27,TWIN PEAKS HARDWARE MONTREAL QC
23,'4539876512340098',20250322,20250323,95.00,SHIELDCOVER HOME INSURANCE ON
24,'4539876512340098',20250324,20250325,110.80,TWIN PEAKS HARDWARE BRAMPTON ON
25,'4539876512340098',20250327,20250330,19.89,CASCADE CAR WASH OTTAWA ON
26,'4539876512340098',20250329,20250331,93.05,RIVERSIDE BISTRO LAVAL QC
27,'4539876512340098',20250330,20250330,42.81,PARKSIDE CINEMA MONTREAL QC
28,'4539876512340098',20250331,20250331,-475.86,ONLINE BANKING PAYMENT THANK YOU
