The following data is as of 20250531235959:

Item No,Card No,Transaction Date,Statement Date,Transaction Amount,Description
1,'4539876512340098',20250501,20250502,1450.00,GREENLEAF PROPERTIES RENT TRF
2,'4539876512340098',20250501,20250502,24.02,CASCADE CAR WASH QUEBEC QC
3,'4539876512340098',20250501,20250505,36.99,PARKSIDE CINEMA BRAMPTON ON
4,'4539876512340098',20250503,20250506,54.99,IRONCORE FITNESS CLUB TORONTO ON
5,'4539876512340098',20250505,20250506,20.99,STREAMBOX ENTERTAINMENT ON
6,'4539876512340098',20250506,20250507,5.78,BEANHOUSE COFFEE CO MARKHAM ON
7,'4539876512340098',20250506,20250508,12.80,PARKSIDE CINEMA QUEBEC QC
8,'4539876512340098',20250506,20250506,152.81,MAPLEMART GROCERY BRAMPTON ON
9,'4539876512340098',20250507,20250510,11.99,TUNEWAVE MUSIC STREAMING ON
10,'4539876512340098',20250510,20250512,70.06,NORDLINK MOBILE MONTREAL QC
11,'4539876512340098',20250510,20250511,51.30,SUNVALE DEPARTMENT STORE MONTREAL QC
12,'4539876512340098',20250512,20250512,73.27,CLEARPATH INTERNET SERVICES QC
13,'4539876512340098',20250514,20250517,21.35,CASCADE CAR WASH LAVAL QC
14,'4539876512340098',20250515,20250515,167.25,PROVINCIAL HYDRO UTILITY QC
15,'4539876512340098',20250515,20250517,29.55,RIVERSIDE BISTRO MONTREAL QC
16,'4539876512340098',20250517,20250519,154.06,MERIDIAN ONLINE STORE #4471 BRAMPTON ON
17,'4539876512340098',20250518,20250521,9.99,CLOUDMART PRIME MEMBERSHIP CA
18,'4539876512340098',20250518,20250520,17.58,CASCADE CAR WASH MONTREAL QC
19,'4539876512340098',20250520,20250522,128.50,GUARDIAN AUTO INSURANCE ON
20,'4539876512340098',20250522,20250524,95.00,SHIELDCOVER HOME INSURANCE ON
21,'4539876512340098',20250522,20250526,47.97,CEDARBROOK PHARMACY BRAMPTON ON
22,'4539876512340098',20250526,20250529,30.01,PARKSIDE CINEMA GATINEAU QC
23,'4539876512340098',20250527,20250528,48.69,TWIN PEAKS HARDWARE QUEBEC QC
24,'4539876512340098',20250528,20250531,76.56,MAPLEMART GROCERY MARKHAM ON
25,'4539876512340098',20250528,20250531,154.68,TWIN PEAKS HARDWARE LONGUEUIL QC
26,'4539876512340098',20250529,20250531,180.69,SUNVALE DEPARTMENT STORE OTTAWA ON
27,'4539876512340098',20250529,20250529,-1280.95,ONLINE BANKING PAYMENT THANK YOU
28,'4539876512340098',20250530,20250531,30.45,CEDARBROOK PHARMACY LAVAL QC
29,'4539876512340098',20250530,20250531,32.47,PARKSIDE CINEMA QUEBEC QC
