The following data is as of 20251130235959:

Item No,Card No,Transaction Date,Statement Date,Transaction Amount,Description
1,'4539876512340098',20251101,20251101,1450.00,GREENLEAF PROPERTIES RENT TRF
2,'4539876512340098',20251102,20251103,46.63,FRONTIER BOOKS AND MEDIA LONGUEUIL QC
3,'4539876512340098',20251103,20251103,54.99,IRONCORE FITNESS CLUB TORONTO ON
4,'4539876512340098',20251104,20251106,24.94,WILLOWBROOK PET SUPPLY GATINEAU QC
5,'4539876512340098',20251105,20251106,20.99,STREAMBOX ENTERTAINMENT ON
6,'4539876512340098',20251105,20251107,79.30,MAPLEMART GROCERY TORONTO ON
7,'4539876512340098',20251107,20251109,11.99,TUNEWAVE MUSIC STREAMING ON
8,'4539876512340098',20251107,20251108,34.17,PARKSIDE CINEMA TORONTO ON
9,'4539876512340098',20251107,20251107,208.28,SILVERCREEK ELECTRONICS OTTAWA ON
10,'4539876512340098',20251108,20251110,67.30,NORTHGATE FUEL STATION TORONTO ON
11,'4539876512340098',20251110,20251113,67.97,NORDLINK MOBILE MONTREAL QC
12,'4539876512340098',20251110,20251112,12.84,BEANHOUSE COFFEE CO OTTAWA ON
13,'4539876512340098',20251110,20251111,229.73,SUNVALE DEPARTMENT STORE GATINEAU QC
14,'4539876512340098',20251110,20251111,385.64,SILVERCREEK ELECTRONICS LAVAL QC
15,'4539876512340098',20251112,20251115,74.30,CLEARPATH INTERNET SERVICES QC
16,'4539876512340098',20251114,20251117,61.64,MAPLEMART GROCERY BRAMPTON ON
17,'4539876512340098',20251114,20251117,21.17,PARKSIDE CINEMA LONGUEUIL QC
18,'4539876512340098',20251115,20251117,144.30,PROVINCIAL HYDRO UTILITY QC
19,'4539876512340098',20251115,20251118,62.51,NORTHGATE FUEL STATION OTTAWA ON
20,'4539876512340098',20251118,20251119,9.99,CLOUDMART PRIME MEMBERSHIP CA
21,'4539876512340098',20251120,20251121,128.50,GUARDIAN AUTO INSURANCE ON
22,'4539876512340098',20251120,20251120,80.29,SUNVALE DEPARTMENT STORE BRAMPTON ON
23,'4539876512340098',20251121,20251125,9.30,CEDARBROOK PHARMACY TORONTO ON
24,'4539876512340098',20251122,20251122,95.00,SHIELDCOVER HOME INSURANCE ON
25,'4539876512340098',20251123,20251127,21.65,QUICKSTOP CONVENIENCE LONGUEUIL QC
26,'4539876512340098',20251124,20251128,93.45,RIVERSIDE BISTRO MONTREAL QC
27,'4539876512340098',20251125,20251128,130.25,HARBOR RETAIL OUTLET TORONTO ON
28,'4539876512340098',20251125,20251129,40.47,PARKSIDE CINEMA MONTREAL QC
29,'4539876512340098',20251126,20251126,335.18,SILVERCREEK ELECTRONICS OTTAWA ON
30,'4539876512340098',20251127,20251127,-942.53,ONLINE BANKING PAYMENT THANK YOU
31,'4539876512340098',20251129,20251130,52.93,CEDARBROOK PHARMACY MARKHAM ON
