The following data is as of 20251031235959:

Item No,Card No,Transaction Date,Statement Date,Transaction Amount,Description
1,'4539876512340098',20251001,20251001,1450.00,GREENLEAF PROPERTIES RENT TRF
2,'4539876512340098',20251002,20251003,47.16,TWIN PEAKS HARDWARE MONTREAL QC
3,'4539876512340098',20251003,20251003,54.99,IRONCORE FITNESS CLUB TORONTO ON
4,'4539876512340098',20251003,20251004,93.32,SILVERCREEK ELECTRONICS MARKHAM ON
5,'4539876512340098',20251004,20251008,65.02,BLUE HERON DINER QUEBEC QC
6,'4539876512340098',20251005,20251005,20.99,STREAMBOX ENTERTAINMENT ON
7,'4539876512340098',20251007,20251009,11.99,TUNEWAVE MUSIC STREAMING ON
8,'4539876512340098',20251008,20251009,74.96,ORCHARD LANE MARKET BRAMPTON ON
9,'4539876512340098',20251009,20251011,11.42,CEDARBROOK PHARMACY MARKHAM ON
10,'4539876512340098',20251010,20251011,59.33,NORDLINK MOBILE MONTREAL QC
11,'4539876512340098',20251012,20251013,71.57,CLEARPATH INTERNET SERVICES QC
12,'4539876512340098',20251012,20251015,14.70,BEANHOUSE COFFEE CO BRAMPTON ON
13,'4539876512340098',20251012,20251015,36.67,TWIN PEAKS HARDWARE BRAMPTON ON
14,'4539876512340098',20251014,20251016,126.18,HARBOR RETAIL OUTLET LAVAL QC
15,'4539876512340098',20251014,20251016,24.55,QUICKSTOP CONVENIENCE TORONTO ON
16,'4539876512340098',20251015,20251018,161.06,PROVINCIAL HYDRO UTILITY QC
17,'4539876512340098',20251016,20251020,10.78,BEANHOUSE COFFEE CO LAVAL QC
18,'4539876512340098',20251016,20251018,164.57,AUTOMATED TELLER WITHDRAWAL MARKHAM ON
19,'4539876512340098',20251018,20251019,9.99,CLOUDMART PRIME MEMBERSHIP CA
20,'4539876512340098',20251019,20251019,14.72,BLUE HERON DINER BRAMPTON ON
21,'4539876512340098',20251019,20251021,19.64,PARKSIDE CINEMA LONGUEUIL QC
22,'4539876512340098',20251020,20251021,128.50,GUARDIAN AUTO INSURANCE ON
23,'4539876512340098',20251020,20251021,44.86,WILLOWBROOK PET SUPPLY MONTREAL QC
24,'4539876512340098',20251020,20251024,47.31,NORTHGATE FUEL STATION QUEBEC QC
25,'4539876512340098',20251022,20251024,95.00,SHIELDCOVER HOME INSURANCE ON
26,'4539876512340098',20251023,20251026,64.12,RIVERSIDE BISTRO BRAMPTON ON
27,'4539876512340098',20251024,20251024,67.31,RIVERSIDE BISTRO GATINEAU QC
28,'4539876512340098',20251026,20251027,170.68,SILVERCREEK ELECTRONICS QUEBEC QC
29,'4539876512340098',20251027,20251027,20.18,WILLOWBROOK PET SUPPLY TORONTO ON
30,'4539876512340098',20251029,20251029,-1167.03,ONLINE BANKING PAYMENT THANK YOU
